id,group_id,user_id,role,created_on,modified_on,is_creator,is_active
13,16,6,admin,"2024-08-25 22:30:47","2024-08-25 23:12:53",1,1
14,16,7,admin,"2024-08-25 23:17:13","2024-08-25 23:17:13",0,1
15,16,8,member,"2024-08-25 23:18:11","2024-08-25 23:20:49",0,1
